id	intConsecutivo	dtmh323setuptime	dtmh323connecttime	dtmh323disconnecttime	intIdFecha	intCodigoFecha	strNASIdentifier	intAcctSessionTime	intClientIPAddress	intNASIPAddress	strAcctTerminateCause	strCallingStationId	strCalledStationId	strAcmeFlowTypeaudioF	strAcmeFlowInRealmaudioF	intAcmeCallingPacketsaudio	intAcmeCallingRTPPacketsLostaudio	intAcmeCallingRTPAvgJitterAudio	intAcmeCallingRTPMaxJitteraudio	intSASCallingFactorRAudio	intSASCalledFactorRAudio	strAcmeSessionIngressRealm	strAcmeSessionEgressRealm	strAcmeSessionProtocolType	intAcmeCalledPacketsaudio	intAcmeCalledRTPPacketsLostaudio	intAcmeCalledRTPAvgJitterAudio	intAcmeCalledRTPMaxJitteraudio	strAcmeFirmwareVersion	intAcmeCallingPacketsvideo	intAcmeCallingRTPPacketsLostvideo	intAcmeCallingRTPAvgJittervideo	intAcmeCallingRTPMaxJittervideo	intAcmeCalledPacketsvideo	intAcmeCalledRTPPacketsLostvideo	intAcmeCalledRTPAvgJittervideo	intAcmeCalledRTPMaxJittervideo	intSASCallingFactorRRTpAudio	intModalidad	intCodigoGeografia	Count_intAcmeCallingRTPAvgJitterAudio	Count_intSASCallingFactorRaudio	Count_intSASCalledFactorRaudio	Count_intAcmeCalledRTPAvgJitterAudio	Count_intAcmeCallingRTPAvgJittervideo	Count_intAcmeCalledRTPAvgJittervideo	Count_intSASCallingFactorRRTPaudio	strAcctSessionId	intIdSAScallingdomain	intIdSAScalleddomain	intIdAcmeSipEstado	intIdSASIngressRemoteAddrIP	intIdSASEgressLocalAddrIP	intCodigoGeografia	strCodigoCiudad	strNombreCiudad	strCodigoDeptoEstado	strNombreDeptoEstado	strCodigoPais	strNombrePais	strNombreRegion	strTipo	strCiudadCapital	dtmFechaInicioVig	dtmFechaFinVig	dtmFechaModificacion	strEstado
1	707028729	2015-10-01 01:28:22.000	2015-10-01 01:28:22.000	2015-10-01 01:28:22.000	20151001	2457297	sbcmde03	0	0	0	User-Error	56438837	56432538			0	0	0	0	0	0	core-oser	acc-slbmde-mde6300	SIP	0	0	0	0	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	0	1	10839	0	0	0	0	0	0	0	bvpjt7b6hphht68cv6db76kbgu6vujbk@SoftX3000	590	99	487	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707030999	2015-10-01 01:28:13.000	2015-10-01 01:28:13.000	2015-10-01 01:29:30.000	20151001	2457297	sbcmde02	77	0	0	User-Request	56424722	56424312	PCMU	core-lucia-1687	3846	0	0	20	93,23619843	93,23619843	core-lucia-1687	acc-lucia-1687	SIP	3774	1	0	972	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	tdhbdijpihjkjid2dbpi68jkj6gkpc8b@SoftX3000	709	25	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707038893	2015-10-01 01:33:16.000	2015-10-01 01:33:16.000	2015-10-01 01:33:40.000	20151001	2457297	sbcmde02	24	0	0	User-Request	56424720	56424310	PCMU	core-lucia-1687	1190	0	0	0	93,23619843	93,23619843	core-lucia-1687	acc-lucia-1687	SIP	1190	0	0	16	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	2vihcdjgkcuguiihivhg67b6c6hgbggu@SoftX3000	709	25	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707045511	2015-10-01 01:20:38.000	2015-10-01 01:20:38.000	2015-10-01 01:37:06.000	20151001	2457297	sbcmde02	988	0	0	User-Request	56424720	56424310	PCMU	core-lucia-1687	49461	0	0	20	93,23619843	93,23619843	core-lucia-1687	acc-lucia-1687	SIP	49365	0	0	931	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	hg2idv8d8jkg8j88v8gbghpikuup8d27@SoftX3000	709	25	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707060019	2015-10-01 01:42:35.000	2015-10-01 01:42:46.000	2015-10-01 01:44:32.000	20151001	2457297	sbcmde03	106	0	0	User-Request	56458087	56438711	PCMU	core-oser	5292	1	0	4	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	5301	0	0	20	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	92,82060242	1	10839	0	1	1	0	0	0	1	7dvkp6jk267uh7c2ibcu67bu2ihk27c2@SoftX3000	590	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707065735	2015-10-01 01:47:20.000	2015-10-01 01:47:23.000	2015-10-01 01:47:32.000	20151001	2457297	sbcmde03	9	0	0	User-Request	56456635	56431330	PCMU	core-oser	461	0	0	1	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	459	0	0	20	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	khpd2gikg2cjt78jkjcdcv8ubkvip8uu@SoftX3000	428	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707066400	2015-10-01 01:47:05.000	2015-10-01 01:47:05.000	2015-10-01 01:47:53.000	20151001	2457297	sbcmde02	48	0	0	User-Request	56424720	56424310	PCMU	core-lucia-1687	2455	0	0	20	93,23619843	93,23619843	core-lucia-1687	acc-lucia-1687	SIP	2373	0	0	687	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	g722cdikvvivddhgibb2c82jtbi7gp72@SoftX3000	709	25	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707070952	2015-10-01 01:49:12.000	2015-10-01 01:49:12.000	2015-10-01 01:50:13.000	20151001	2457297	sbcmde02	61	0	0	User-Request	75886970	75892020	G729	core-hielera-0913	2990	32	0	21	82,38950348	77,86640167	core-hielera-0913	acc-hielera-0913	SIP	2872	0	6	3144	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	77,90239716	1	11243	0	1	1	1	0	0	1	bbkbu6pvg82ktcciu6gdhuc7d72upd6p@SoftX3000	428	99	0	1	0	11243	7500	CUCUTA	540	NORTE DE SANTANDER	48	COLOMBIA	ORIENTE	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706929906	2015-10-01 00:48:16.000	2015-10-01 00:48:24.000	2015-10-01 00:49:31.000	20151001	2457297	sbcmde03	67	0	0	User-Request	17947805	14929638	PCMU	core-oser	3335	5	0	4	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	3338	0	0	3	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	90,0401001	1	10007	0	1	1	0	0	0	1	pkcvkb6vv7icu88kgpk687biu6huv2pj@SoftX3000	428	99	0	1	0	10007	1100	BOGOTA	110	SANTAFE DE BOGOTA D.C.	48	COLOMBIA	CUNDINAMARCA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707021407	2015-10-01 01:24:04.000	2015-10-01 01:24:14.000	2015-10-01 01:25:00.000	20151001	2457297	sbcmde03	46	0	0	User-Request	76918372	76909244	PCMU	core-oser	2272	0	0	20	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	2271	0	0	1	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	11277	0	1	1	0	0	0	1	6jh7b7t8k8ib6g6gpgt76vdd88jcik8t@SoftX3000	428	99	0	1	0	11277	7600	BUCARAMANGA	680	SANTANDER	48	COLOMBIA	ORIENTE	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
